Project Name,Package Name,Type Name,Code Smell
ArtOfIllusion-master,artofillusion.animation,Actor,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Actor,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,ActorKeyframe,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,EditCallback,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,ValueEditor,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,ArrayKeyframe,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,BooleanKeyframe,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Editor,Imperative Abstraction
ArtOfIllusion-master,artofillusion.animation,Editor,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,EditKeyframesDialog,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,EditKeyframesDialog,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,FilterParameterTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,Gesture,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,IKTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,IKTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,Constraint,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,Constraint,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Editor,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,Joint,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,DOF,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,JointEditorDialog,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,JointEditorDialog,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,JointEditorDialog,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,DOFPanel,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,DOFPanel,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,DOFGraph,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Marker,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,MeshGesture,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,NullKeyframe,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,ObjectRef,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,ObjectRefSelector,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,ObjectRefTreeElement,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,PathFromCurveDialog,Imperative Abstraction
ArtOfIllusion-master,artofillusion.animation,PathFromCurveDialog,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,PoseTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,PoseTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,PositionTrack,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,PositionTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,PositionTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,ProceduralPositionTrack,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,ProceduralPositionTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,ProceduralPositionTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,ProceduralRotationTrack,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,ProceduralRotationTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,ProceduralRotationTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,RotationKeyframe,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,RotationTrack,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,RotationTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,RotationTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,ScalarKeyframe,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,Score,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,Score,Unexploited Encapsulation
ArtOfIllusion-master,artofillusion.animation,Score,Missing Hierarchy
ArtOfIllusion-master,artofillusion.animation,Score,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Score,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,SelectionInfo,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,SelectionInfo,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Skeleton,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,TextureTrack,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,TextureTrack,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,TimeAxis,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Timecourse,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,TimePoint,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,Track,Wide Hierarchy
ArtOfIllusion-master,artofillusion.animation,Track,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,Track,Insufficient Modularization
ArtOfIllusion-master,artofillusion.animation,TrackDisplay,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,TrackGraph,Unutilized Abstraction
ArtOfIllusion-master,artofillusion.animation,TrackGraph,Deficient Encapsulation
ArtOfIllusion-master,artofillusion.animation,TrackGraph,Unexploited Encapsulation
ArtOfIllusion-master,artofillusion.animation,TrackGraph,Missing Hierarchy
ArtOfIllusion-master,artofillusion.animation,TrackGraph,Cyclic-Dependent Modularization
ArtOfIllusion-master,artofillusion.animation,TrackGraph,Insufficient Modularization
