Project Name,Package Name,Type Name,Code Smell
artofillusion,artofillusion.animation,Actor,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Actor,Insufficient Modularization
artofillusion,artofillusion.animation,ActorKeyframe,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,ActorEditorWindow,Unutilized Abstraction
artofillusion,artofillusion.animation,ActorEditorWindow,Deficient Encapsulation
artofillusion,artofillusion.animation,ActorEditorWindow,Insufficient Modularization
artofillusion,artofillusion.animation,EditCallback,Deficient Encapsulation
artofillusion,artofillusion.animation,ValueEditor,Unutilized Abstraction
artofillusion,artofillusion.animation,ArrayKeyframe,Deficient Encapsulation
artofillusion,artofillusion.animation,BooleanKeyframe,Deficient Encapsulation
artofillusion,artofillusion.animation,ConstraintTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Editor,Imperative Abstraction
artofillusion,artofillusion.animation,Editor,Unutilized Abstraction
artofillusion,artofillusion.animation,EditKeyframesDialog,Deficient Encapsulation
artofillusion,artofillusion.animation,EditKeyframesDialog,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,FilterParameterTrack,Insufficient Modularization
artofillusion,artofillusion.animation,Gesture,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,IKTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,IKTrack,Insufficient Modularization
artofillusion,artofillusion.animation,Constraint,Deficient Encapsulation
artofillusion,artofillusion.animation,Constraint,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Editor,Unutilized Abstraction
artofillusion,artofillusion.animation,Joint,Deficient Encapsulation
artofillusion,artofillusion.animation,DOF,Deficient Encapsulation
artofillusion,artofillusion.animation,JointEditorDialog,Unutilized Abstraction
artofillusion,artofillusion.animation,JointEditorDialog,Deficient Encapsulation
artofillusion,artofillusion.animation,JointEditorDialog,Insufficient Modularization
artofillusion,artofillusion.animation,DOFPanel,Deficient Encapsulation
artofillusion,artofillusion.animation,DOFPanel,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,DOFGraph,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Marker,Deficient Encapsulation
artofillusion,artofillusion.animation,MeshGesture,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,NullKeyframe,Unutilized Abstraction
artofillusion,artofillusion.animation,ObjectRef,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,ObjectRefSelector,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,ObjectRefTreeElement,Unutilized Abstraction
artofillusion,artofillusion.animation,PathFromCurveDialog,Imperative Abstraction
artofillusion,artofillusion.animation,PathFromCurveDialog,Unutilized Abstraction
artofillusion,artofillusion.animation,PoseTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,PoseTrack,Insufficient Modularization
artofillusion,artofillusion.animation,PositionTrack,Deficient Encapsulation
artofillusion,artofillusion.animation,PositionTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,PositionTrack,Insufficient Modularization
artofillusion,artofillusion.animation,ProceduralPositionTrack,Deficient Encapsulation
artofillusion,artofillusion.animation,ProceduralPositionTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,ProceduralPositionTrack,Insufficient Modularization
artofillusion,artofillusion.animation,ProceduralRotationTrack,Deficient Encapsulation
artofillusion,artofillusion.animation,ProceduralRotationTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,ProceduralRotationTrack,Insufficient Modularization
artofillusion,artofillusion.animation,RotationKeyframe,Deficient Encapsulation
artofillusion,artofillusion.animation,RotationTrack,Deficient Encapsulation
artofillusion,artofillusion.animation,RotationTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,RotationTrack,Insufficient Modularization
artofillusion,artofillusion.animation,ScalarKeyframe,Deficient Encapsulation
artofillusion,artofillusion.animation,Score,Deficient Encapsulation
artofillusion,artofillusion.animation,Score,Unexploited Encapsulation
artofillusion,artofillusion.animation,Score,Missing Hierarchy
artofillusion,artofillusion.animation,Score,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Score,Insufficient Modularization
artofillusion,artofillusion.animation,SelectionInfo,Deficient Encapsulation
artofillusion,artofillusion.animation,SelectionInfo,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Skeleton,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,TextureTrack,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,TextureTrack,Insufficient Modularization
artofillusion,artofillusion.animation,TimeAxis,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Timecourse,Deficient Encapsulation
artofillusion,artofillusion.animation,TimePoint,Deficient Encapsulation
artofillusion,artofillusion.animation,Track,Wide Hierarchy
artofillusion,artofillusion.animation,Track,Cyclic-Dependent Modularization
artofillusion,artofillusion.animation,Track,Insufficient Modularization
artofillusion,artofillusion.animation,TrackDisplay,Unutilized Abstraction
artofillusion,artofillusion.animation,TrackGraph,Unutilized Abstraction
