Project Name,Package Name,Type Name,Method Name,Code Smell
ArtOfIllusion-master,artofillusion.animation,Actor,setParameterValues,Long Statement
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Complex Method
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,getProperties,Long Statement
ArtOfIllusion-master,artofillusion.animation,Actor,configurePoseTrack,Magic Number
ArtOfIllusion-master,artofillusion.animation,Actor,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,Actor,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ActorKeyframe,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ActorKeyframe,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Long Statement
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Long Statement
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,processEvent,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,doExtract,Long Statement
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,doDelete,Long Statement
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,getColumnCount,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ValueRenderer,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,getTableCellRendererComponent,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,ValueEditor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ActorEditorWindow,getTableCellEditorComponent,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,CurrentPoseTableModel,getColumnCount,Magic Number
ArtOfIllusion-master,artofillusion.animation,ValueRenderer,ValueRenderer,Magic Number
ArtOfIllusion-master,artofillusion.animation,ValueRenderer,getTableCellRendererComponent,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ValueEditor,ValueEditor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ValueEditor,getTableCellEditorComponent,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Long Statement
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Long Statement
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Magic Number
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Magic Number
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Magic Number
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,run,Complex Method
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,run,Magic Number
ArtOfIllusion-master,artofillusion.animation,AnimationPreviewer,doClose,Empty catch clause
ArtOfIllusion-master,artofillusion.animation,ArrayKeyframe,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ArrayKeyframe,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,ArrayKeyframe,blend,Long Statement
ArtOfIllusion-master,artofillusion.animation,BooleanKeyframe,setGraphValues,Magic Number
ArtOfIllusion-master,artofillusion.animation,BooleanKeyframe,blend,Magic Number
ArtOfIllusion-master,artofillusion.animation,BooleanKeyframe,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,BooleanKeyframe,blend,Long Parameter List
ArtOfIllusion-master,artofillusion.animation,BooleanKeyframe,blend,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Long Statement
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Long Statement
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Long Statement
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,ConstraintTrack,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Long Statement
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Long Statement
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Long Statement
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,Editor,Editor,Magic Number
ArtOfIllusion-master,artofillusion.animation,EditKeyframesDialog,EditKeyframesDialog,Complex Method
ArtOfIllusion-master,artofillusion.animation,EditKeyframesDialog,EditKeyframesDialog,Long Statement
ArtOfIllusion-master,artofillusion.animation,EditKeyframesDialog,EditKeyframesDialog,Magic Number
ArtOfIllusion-master,artofillusion.animation,EditKeyframesDialog,EditKeyframesDialog,Magic Number
