Project Name,Package Name,Type Name,Method Name,Code Smell
artofillusion,artofillusion.animation,Actor,setParameterValues,Long Statement
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Complex Method
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,shapeMeshFromGestures,Magic Number
artofillusion,artofillusion.animation,Actor,getProperties,Long Statement
artofillusion,artofillusion.animation,Actor,configurePoseTrack,Magic Number
artofillusion,artofillusion.animation,Actor,blend,Long Parameter List
artofillusion,artofillusion.animation,Actor,blend,Long Parameter List
artofillusion,artofillusion.animation,ActorKeyframe,blend,Long Parameter List
artofillusion,artofillusion.animation,ActorKeyframe,blend,Long Parameter List
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Long Parameter List
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Long Statement
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Long Statement
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ActorEditorWindow,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,processEvent,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,doExtract,Long Statement
artofillusion,artofillusion.animation,ActorEditorWindow,doDelete,Long Statement
artofillusion,artofillusion.animation,ActorEditorWindow,getColumnCount,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,ValueRenderer,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,getTableCellRendererComponent,Long Parameter List
artofillusion,artofillusion.animation,ActorEditorWindow,ValueEditor,Magic Number
artofillusion,artofillusion.animation,ActorEditorWindow,getTableCellEditorComponent,Long Parameter List
artofillusion,artofillusion.animation,CurrentPoseTableModel,getColumnCount,Magic Number
artofillusion,artofillusion.animation,ValueRenderer,ValueRenderer,Magic Number
artofillusion,artofillusion.animation,ValueRenderer,getTableCellRendererComponent,Long Parameter List
artofillusion,artofillusion.animation,ValueEditor,ValueEditor,Magic Number
artofillusion,artofillusion.animation,ValueEditor,getTableCellEditorComponent,Long Parameter List
artofillusion,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Long Statement
artofillusion,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Long Statement
artofillusion,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Magic Number
artofillusion,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Magic Number
artofillusion,artofillusion.animation,AnimationPreviewer,AnimationPreviewer,Magic Number
artofillusion,artofillusion.animation,AnimationPreviewer,run,Complex Method
artofillusion,artofillusion.animation,AnimationPreviewer,run,Magic Number
artofillusion,artofillusion.animation,AnimationPreviewer,doClose,Empty catch clause
artofillusion,artofillusion.animation,ArrayKeyframe,blend,Long Parameter List
artofillusion,artofillusion.animation,ArrayKeyframe,blend,Long Parameter List
artofillusion,artofillusion.animation,ArrayKeyframe,blend,Long Statement
artofillusion,artofillusion.animation,BooleanKeyframe,setGraphValues,Magic Number
artofillusion,artofillusion.animation,BooleanKeyframe,blend,Magic Number
artofillusion,artofillusion.animation,BooleanKeyframe,blend,Long Parameter List
artofillusion,artofillusion.animation,BooleanKeyframe,blend,Long Parameter List
artofillusion,artofillusion.animation,BooleanKeyframe,blend,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Long Statement
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Long Statement
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Long Statement
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
artofillusion,artofillusion.animation,ConstraintTrack,Editor,Magic Number
